CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Algae,,,,Lophocladia trichocladus,LC,11636,,,Lop_tri,Lophocladia trichoclados,-,Algae,https://coralnet.ucsd.edu/label/11636/
Algae,,,,Nemalion elminthoides,LC,11637,,,Nem_elm,Nemalion elminthoides,-,Algae,https://coralnet.ucsd.edu/label/11637/
Algae,,,,Padina pavonica,LCE,2801,,,Pad_pav,Padina pavonica,Padina pavonica,Algae,https://coralnet.ucsd.edu/label/2801/
Algae,,,,Sphaerococcus coronopifolius,LCE,3693,,,Sph_cor,Sphaerococcus coronopifolius,Sphaerococcus coronopifolius,Algae,https://coralnet.ucsd.edu/label/3693/
Algae,,,,Tenarea tortuosa,LC,11638,,,Ten_tor,Tenarea tortuosa,-,Algae,https://coralnet.ucsd.edu/label/11638/
Algae,,,,Vidalia volubilis,LC,11639,,,Vid_vol,Vidalia volubilis,-,Algae,https://coralnet.ucsd.edu/label/11639/
Algae,,,,Zanardinia typus,LCE,3669,,,Zan_typ,Zanardinia typus,Zanardinia typus,Algae,https://coralnet.ucsd.edu/label/3669/
Algae,,,,Parvocaulis parvulus,LC,11640,,,Par_par,Parvocaulis parvulus,-,Algae,https://coralnet.ucsd.edu/label/11640/
Algae,,,,Schottera nicaeensis,LC,11641,,,Sco_nic,Schottera nicaeensis,-,Algae,https://coralnet.ucsd.edu/label/11641/
Algae,,,,Solieria filiformis,LCE,467,,,Sol_fil,Solieria filiformis,Solieria filiformis,Algae,https://coralnet.ucsd.edu/label/467/
Algae,,,,Sebdenia dichotoma,LC,11642,,,Seb_dic,Sebdenia dichotoma,-,Algae,https://coralnet.ucsd.edu/label/11642/
Algae,,,Ralfsia sp,,LC,11643,,,Ral,Ralfsia sp.,-,Algae,https://coralnet.ucsd.edu/label/11643/
Algae,,,Cyanophytes sp,,LCE,7061,,,Cya,Cyanophytes sp.,Cyanophyceae,Algae,https://coralnet.ucsd.edu/label/7061/
Algae,Encrusting coralline algae,,,,LCE,9230,,,ECA,Encrusting coralline algae,Encrusting Coralline Algae,Encrusting coralline algae,https://coralnet.ucsd.edu/label/9230/
Algae,Encrusting coralline algae,,,,LC,12016,,,ECA_DD,"Encrusting coralline algae, dead",-,Encrusting coralline algae,https://coralnet.ucsd.edu/label/12016/
Algae,Encrusting coralline algae,,Lithophyllum sp,,LC,11644,,,ECA_Lit,Lithophyllum sp.,-,Encrusting coralline algae,https://coralnet.ucsd.edu/label/11644/
Algae,Encrusting coralline algae,,Neogoniolithon sp,,LC,11645,,,ECA_Neo,Neogoniolithon sp.,-,Encrusting coralline algae,https://coralnet.ucsd.edu/label/11645/
Algae,Encrusting coralline algae,,Peyssonnelia sp,,LCE,10948,,,ECA_Pey,Peyssonnelia sp.,Peyssonnelia sp.,Encrusting coralline algae,https://coralnet.ucsd.edu/label/10948/
Algae,Encrusting coralline algae,,Hildenbrandia sp,,LCE,5734,,,ECA_Hil,Hildenbrandia sp.,Hildenbrandia Sp.,Encrusting coralline algae,https://coralnet.ucsd.edu/label/5734/
Algae,Encrusting coralline algae,,Titanoderma sp,,LC,11646,,,ECA_Tit,Titanoderma sp.,-,Encrusting coralline algae,https://coralnet.ucsd.edu/label/11646/
Algae,Encrusting coralline algae,,,Mesophyllum lichenoides,LC,11647,,,ECA_Mes,Mesophyllum lichenoides,-,Encrusting coralline algae,https://coralnet.ucsd.edu/label/11647/
Algae,Coralline algae,,Amphiroa sp,,LCE,1591,,,CA_Amp,Amphiroa sp.,Amphiroa sp.,Coralline algae,https://coralnet.ucsd.edu/label/1591/
Algae,Coralline algae,,Corallina/Ellissolandia sp,,LC,11648,,,CA_Cor,Amphiroa sp.,-,Coralline algae,https://coralnet.ucsd.edu/label/11648/
Algae,Coralline algae,,Jania sp,,LC,11649,,,CA_Jan,Jania sp.,-,Coralline algae,https://coralnet.ucsd.edu/label/11649/
Algae,,,Cystoseira sp,,LCE,2122,,,Cys,Cystoseira sp.,Cystoseira sp,Canopy algae,https://coralnet.ucsd.edu/label/2122/
Algae,,,Cystoseira sp,Cystoseira compressa,LCE,2819,,,Cys_com,Cystoseira compressa,Cystoseira compressa,Canopy algae,https://coralnet.ucsd.edu/label/2819/
